Team,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend,MP.1
A&M-Corpus Christi,113.25,27.0,,1481.0,575.25,4078.25,0.22149999999999995,1383.75,143.0,220.75,1792.75,152.75,40.25,266.25,33.5,1783.875,35.0,27.0,,
Abilene Christian,109.33333333333333,23.0,,1290.3333333333333,579.0,3911.3333333333335,0.18266666666666667,1195.6666666666667,122.66666666666667,176.33333333333334,1627.3333333333333,152.0,31.333333333333332,438.0,38.0,1614.1666666666667,20.666666666666668,23.0,,
Air Force,120.75,26.0,,1476.25,754.0,4098.5,0.17525000000000002,1394.5,166.25,285.25,1608.75,149.25,47.0,372.25,58.25,1840.375,48.0,26.0,,
Akron,103.5,22.0,,1291.5,577.0,3677.5,0.194,1192.0,147.5,221.75,1493.5,141.0,41.5,267.0,32.25,1575.75,26.0,22.0,,
Alabama A&M,120.5,28.0,,1332.75,608.75,3737.0,0.19274999999999998,1219.75,160.5,153.5,1599.0,216.75,82.5,293.5,63.0,1689.75,42.0,28.0,,
Alabama St,134.0,28.0,,1602.0,732.5,4262.0,0.20425000000000001,1461.25,195.75,217.0,1773.0,209.25,77.25,350.5,38.75,2016.375,53.5,28.0,,
Alabama,116.75,19.0,,1463.25,614.25,4085.5,0.20774999999999993,1356.75,139.5,212.0,1725.5,125.5,82.75,351.5,56.25,1815.25,38.0,19.0,,
Albany,97.5,12.0,,1153.75,511.5,3424.25,0.18774999999999992,1065.5,120.25,149.5,1508.25,128.0,48.5,344.75,50.25,1441.375,21.0,12.0,,
Alcorn,109.5,22.0,,961.25,699.25,3404.75,0.07625000000000001,873.75,169.25,241.0,1304.0,225.5,33.5,163.5,27.5,1245.75,91.5,22.0,,
American,120.25,22.0,,1575.5,515.25,4022.25,0.2635,1446.25,187.75,257.0,1733.0,137.25,60.75,427.0,52.5,2016.875,28.0,22.0,,
Appalachian St,120.0,18.0,,1523.75,689.0,4363.5,0.19174999999999998,1418.25,138.5,219.75,1798.25,135.25,66.25,265.75,49.0,1861.375,25.0,18.0,,
Arizona St,118.5,17.0,,1498.5,647.75,4217.0,0.20149999999999996,1414.25,115.75,241.5,1827.75,127.25,86.5,296.75,41.5,1849.125,26.25,17.0,,
Arizona,121.0,21.0,,1612.0,643.75,4275.0,0.22574999999999995,1485.0,125.25,249.75,1807.0,134.0,74.5,362.0,47.0,1992.75,17.0,21.0,,
Arkansas St,119.75,23.0,,1610.0,662.75,4352.5,0.21749999999999997,1490.25,154.75,217.0,1844.75,103.0,90.25,297.75,38.5,1973.875,40.5,23.0,,
Arkansas,110.5,3.0,,1405.75,610.5,3848.0,0.20625,1329.5,131.25,243.0,1537.25,137.5,34.0,374.75,37.5,1758.375,32.0,3.0,,
Ark,106.0,28.0,,1071.5,600.0,3573.25,0.1285,975.25,151.5,192.75,1415.25,186.25,64.5,222.25,44.75,1391.375,34.5,28.0,,
