Cenário,Retirada de Outliers,Normalização,Feature Engineering,eps,min_samples,metric,algorithm,n_clusters_kmeans,init,max_iter,n_clusters_agg,linkage,Silhouette Index,Davies Bouldin
0,True,True,False,0.01,3.0,,,,,,,,0.98154068322596,1.3068832110043973
0,True,True,False,0.01,4.0,,,,,,,,0.9696106323746628,1.316675044525869
0,True,True,False,0.01,5.0,,,,,,,,0.959150241199222,1.3246996438613734
0,True,True,False,0.01,6.0,,,,,,,,0.948256863275546,1.3341875353793942
0,True,True,False,0.01,7.0,,,,,,,,0.931843146038408,1.2346760287940883
0,True,True,False,0.01,8.0,,,,,,,,0.9184122845764944,1.2512016030341857
0,True,True,False,0.01,9.0,,,,,,,,0.9077032767689616,1.2631465507922102
0,True,True,False,0.06210526315789474,3.0,,,,,,,,-0.0892838311940186,1.6586640538234494
0,True,True,False,0.06210526315789474,4.0,,,,,,,,-0.0927521328519924,1.70687730930044
0,True,True,False,0.06210526315789474,5.0,,,,,,,,-0.0942450907925522,1.6808845109717518
0,True,True,False,0.06210526315789474,6.0,,,,,,,,-0.0977717053097343,1.7284895647285137
0,True,True,False,0.06210526315789474,7.0,,,,,,,,-0.1006481009522146,1.7505276315498124
0,True,True,False,0.06210526315789474,8.0,,,,,,,,-0.1040610305925277,1.7859784122646785
0,True,True,False,0.06210526315789474,9.0,,,,,,,,-0.107018309469303,1.7951564925006611
0,True,True,False,0.11421052631578947,3.0,,,,,,,,,
0,True,True,False,0.11421052631578947,4.0,,,,,,,,,
0,True,True,False,0.11421052631578947,5.0,,,,,,,,,
0,True,True,False,0.11421052631578947,6.0,,,,,,,,,
0,True,True,False,0.11421052631578947,7.0,,,,,,,,,
0,True,True,False,0.11421052631578947,8.0,,,,,,,,,
0,True,True,False,0.11421052631578947,9.0,,,,,,,,,
0,True,True,False,0.16631578947368422,3.0,,,,,,,,,
0,True,True,False,0.16631578947368422,4.0,,,,,,,,,
0,True,True,False,0.16631578947368422,5.0,,,,,,,,,
0,True,True,False,0.16631578947368422,6.0,,,,,,,,,
0,True,True,False,0.16631578947368422,7.0,,,,,,,,,
0,True,True,False,0.16631578947368422,8.0,,,,,,,,,
0,True,True,False,0.16631578947368422,9.0,,,,,,,,,
0,True,True,False,0.21842105263157896,3.0,,,,,,,,,
0,True,True,False,0.21842105263157896,4.0,,,,,,,,,
0,True,True,False,0.21842105263157896,5.0,,,,,,,,,
0,True,True,False,0.21842105263157896,6.0,,,,,,,,,
0,True,True,False,0.21842105263157896,7.0,,,,,,,,,
0,True,True,False,0.21842105263157896,8.0,,,,,,,,,
0,True,True,False,0.21842105263157896,9.0,,,,,,,,,
0,True,True,False,0.2705263157894737,3.0,,,,,,,,,
0,True,True,False,0.2705263157894737,4.0,,,,,,,,,
0,True,True,False,0.2705263157894737,5.0,,,,,,,,,
0,True,True,False,0.2705263157894737,6.0,,,,,,,,,
0,True,True,False,0.2705263157894737,7.0,,,,,,,,,
0,True,True,False,0.2705263157894737,8.0,,,,,,,,,
0,True,True,False,0.2705263157894737,9.0,,,,,,,,,
0,True,True,False,0.32263157894736844,3.0,,,,,,,,,
1,True,True,False,,,,,2.0,k-means++,100.0,,,0.3181869075420063,1.2090982663526826
1,True,True,False,,,,,2.0,k-means++,300.0,,,0.3181869075420063,1.2090982663526826
1,True,True,False,,,,,2.0,k-means++,500.0,,,0.3181869075420063,1.2090982663526826
1,True,True,False,,,,,2.0,random,100.0,,,0.3201190043224681,1.1997849014321418
1,True,True,False,,,,,2.0,random,300.0,,,0.3201190043224681,1.1997849014321418
1,True,True,False,,,,,2.0,random,500.0,,,0.3201190043224681,1.1997849014321418
1,True,True,False,,,,,3.0,k-means++,100.0,,,0.3277853419708413,1.0315106686129358
1,True,True,False,,,,,3.0,k-means++,300.0,,,0.3277853419708413,1.0315106686129358
1,True,True,False,,,,,3.0,k-means++,500.0,,,0.3277853419708413,1.0315106686129358
1,True,True,False,,,,,3.0,random,100.0,,,0.3317588212842796,1.0273944825206354
1,True,True,False,,,,,3.0,random,300.0,,,0.3317588212842796,1.0273944825206354
1,True,True,False,,,,,3.0,random,500.0,,,0.3317588212842796,1.0273944825206354
1,True,True,False,,,,,4.0,k-means++,100.0,,,0.2804867123385706,1.1510903207091494
1,True,True,False,,,,,4.0,k-means++,300.0,,,0.2804867123385706,1.1510903207091494
1,True,True,False,,,,,4.0,k-means++,500.0,,,0.2804867123385706,1.1510903207091494
1,True,True,False,,,,,4.0,random,100.0,,,0.2830253933497946,1.1870226130699064
1,True,True,False,,,,,4.0,random,300.0,,,0.2830253933497946,1.1870226130699064
1,True,True,False,,,,,4.0,random,500.0,,,0.2830253933497946,1.1870226130699064
1,True,True,False,,,,,5.0,k-means++,100.0,,,0.2857837239268694,1.0988811768042996
1,True,True,False,,,,,5.0,k-means++,300.0,,,0.2857837239268694,1.0988811768042996
1,True,True,False,,,,,5.0,k-means++,500.0,,,0.2857837239268694,1.0988811768042996
1,True,True,False,,,,,5.0,random,100.0,,,0.2866896790899621,1.085551405601887
1,True,True,False,,,,,5.0,random,300.0,,,0.2866896790899621,1.085551405601887
1,True,True,False,,,,,5.0,random,500.0,,,0.2866896790899621,1.085551405601887
1,True,True,False,,,,,6.0,k-means++,100.0,,,0.2676975330042511,1.1462693350670603
1,True,True,False,,,,,6.0,k-means++,300.0,,,0.2676975330042511,1.1462693350670603
1,True,True,False,,,,,6.0,k-means++,500.0,,,0.2676975330042511,1.1462693350670603
1,True,True,False,,,,,6.0,random,100.0,,,0.2909021895872333,1.0831890981272536
1,True,True,False,,,,,6.0,random,300.0,,,0.2909021895872333,1.0831890981272536
1,True,True,False,,,,,6.0,random,500.0,,,0.2909021895872333,1.0831890981272536
1,True,True,False,,,,,7.0,k-means++,100.0,,,0.2982041661814319,1.0640697144149107
